iter	Passed	Remaining
0	116	116421
1	118	59270
2	121	40355
3	123	30757
4	126	25173
5	129	21465
6	132	18745
7	135	16823
8	138	15248
9	141	13995
10	144	12952
11	146	12089
12	149	11356
13	152	10727
14	155	10229
15	159	9838
16	162	9393
17	164	8993
18	167	8652
19	170	8332
20	172	8058
21	175	7800
22	177	7559
23	180	7351
24	183	7173
25	187	7007
26	189	6835
27	192	6677
28	194	6524
29	197	6372
30	199	6239
31	202	6112
32	204	5987
33	206	5877
34	209	5766
35	211	5664
36	214	5573
37	216	5480
38	219	5409
39	222	5332
40	224	5254
41	226	5173
42	229	5097
43	231	5031
44	233	4961
45	236	4897
46	237	4815
47	238	4733
48	240	4666
49	241	4595
50	243	4529
51	245	4466
52	246	4405
53	248	4346
54	249	4291
55	251	4234
56	252	4177
57	254	4125
58	255	4075
59	256	4024
60	258	3975
61	259	3927
62	260	3881
63	262	3836
64	263	3793
65	264	3747
66	265	3703
67	267	3662
68	268	3621
69	269	3581
70	270	3540
71	271	3502
72	272	3464
73	273	3427
74	274	3390
75	276	3357
76	277	3322
77	278	3289
78	279	3259
79	280	3228
80	281	3198
81	283	3168
82	283	3133
83	284	3106
84	286	3079
85	287	3052
86	288	3026
87	289	3000
88	290	2975
89	291	2951
90	293	2927
91	294	2903
92	295	2879
93	296	2856
94	297	2833
95	298	2810
96	299	2788
97	300	2766
98	301	2745
99	302	2724
100	303	2705
101	305	2685
102	306	2666
103	307	2647
104	308	2630
105	309	2612
106	310	2595
107	312	2577
108	313	2559
109	314	2542
110	315	2525
111	316	2508
112	317	2492
113	318	2476
114	319	2460
115	320	2445
116	321	2428
117	322	2413
118	323	2397
119	324	2383
120	326	2368
121	326	2353
122	328	2339
123	329	2325
124	330	2311
125	331	2298
126	332	2284
127	333	2270
128	334	2257
129	335	2244
130	336	2232
131	337	2219
132	338	2207
133	339	2196
134	341	2185
135	342	2173
136	343	2162
137	344	2151
138	345	2139
139	346	2128
140	347	2117
141	348	2104
142	349	2093
143	350	2084
144	351	2073
145	352	2064
146	354	2055
147	355	2046
148	356	2037
149	357	2027
150	359	2019
151	360	2010
152	361	2002
153	363	1995
154	365	1989
155	366	1984
156	368	1976
157	369	1969
158	370	1960
159	371	1951
160	372	1942
161	374	1934
162	376	1930
163	377	1923
164	378	1914
165	379	1907
166	380	1899
167	381	1890
168	383	1883
169	384	1875
170	385	1868
171	386	1860
172	388	1855
173	389	1848
174	390	1841
175	391	1834
176	392	1827
177	394	1819
178	395	1812
179	396	1805
180	397	1797
181	398	1791
182	399	1783
183	400	1777
184	401	1770
185	403	1767
186	404	1760
187	405	1753
188	406	1746
189	408	1739
190	409	1733
191	410	1727
192	411	1720
193	412	1714
194	413	1708
195	414	1702
196	416	1696
197	417	1689
198	417	1682
199	418	1675
200	419	1669
201	421	1663
202	422	1657
203	423	1651
204	424	1646
205	425	1639
206	426	1634
207	427	1628
208	428	1622
209	429	1617
210	431	1612
211	432	1606
212	433	1601
213	434	1595
214	435	1590
215	436	1585
216	437	1580
217	439	1575
218	440	1569
219	441	1564
220	442	1558
221	443	1553
222	444	1548
223	445	1543
224	446	1538
225	447	1534
226	449	1529
227	450	1523
228	451	1518
229	452	1514
230	453	1509
231	454	1504
232	455	1499
233	456	1495
234	457	1490
235	458	1485
236	460	1481
237	461	1476
238	462	1471
239	463	1467
240	464	1463
241	465	1458
242	466	1454
243	468	1450
244	469	1445
245	470	1441
246	471	1436
247	472	1432
248	473	1428
249	474	1424
250	475	1420
251	477	1416
252	478	1412
253	479	1407
254	480	1403
255	481	1399
256	482	1394
257	483	1390
258	484	1386
259	485	1382
260	486	1378
261	487	1374
262	489	1370
263	490	1366
264	491	1363
265	492	1359
266	493	1356
267	494	1351
268	495	1347
269	497	1343
270	498	1340
271	499	1336
272	500	1332
273	501	1328
274	502	1325
275	503	1321
276	504	1317
277	505	1313
278	507	1310
279	508	1306
280	509	1303
281	510	1299
282	511	1295
283	512	1292
284	513	1288
285	514	1285
286	515	1281
287	516	1277
288	518	1274
289	519	1270
290	520	1267
291	521	1264
292	522	1261
293	523	1257
294	524	1254
295	525	1250
296	526	1247
297	528	1243
298	529	1240
299	530	1237
300	531	1234
301	532	1230
302	533	1227
303	534	1224
304	536	1221
305	537	1218
306	538	1214
307	539	1211
308	540	1208
309	541	1206
310	542	1202
311	544	1199
312	545	1197
313	546	1194
314	547	1191
315	549	1189
316	550	1186
317	551	1183
318	553	1180
319	554	1177
320	555	1175
321	556	1171
322	557	1169
323	558	1166
324	560	1163
325	561	1160
326	562	1157
327	563	1154
328	564	1151
329	565	1148
330	567	1146
331	568	1143
332	569	1140
333	570	1138
334	571	1135
335	573	1132
336	574	1130
337	575	1127
338	577	1125
339	578	1122
340	579	1120
341	580	1117
342	581	1114
343	583	1112
344	584	1109
345	585	1107
346	586	1104
347	587	1101
348	589	1098
349	590	1095
350	591	1093
351	592	1090
352	593	1087
353	594	1084
354	595	1081
355	596	1079
356	597	1076
357	598	1073
358	600	1071
359	601	1068
360	602	1066
361	603	1063
362	604	1060
